Date,SubscriptionId,SubscriptionName,ResourceGroup,ResourceId,ServiceName,ResourceName,Location,Cost,Currency,ChargeType
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.12,USD,Usage
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.32,USD,Usage
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.06,USD,Usage
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,2.99,USD,Usage
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.76,USD,Usage
2026-09-05,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.93,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.33,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.39,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.16,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.Sql/servers/finopsiq-sql/databases/finopsiq-db,SQL Database,finopsiq-db,East US,3.14,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-data,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-data/providers/Microsoft.DocumentDB/databaseAccounts/finopsiq-cosmos,Cosmos DB,finopsiq-cosmos,East US,1.85,USD,Usage
2026-09-06,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-network,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-network/providers/Microsoft.Network/publicIPAddresses/finopsiq-ip,Bandwidth,finopsiq-ip,East US,0.98,USD,Usage
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Compute/virtualMachines/finopsiq-vm,Virtual Machines,finopsiq-vm,East US,4.2,USD,Usage
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Storage/storageAccounts/finopsiqstorage,Storage,finopsiqstorage,East US,1.35,USD,Usage
2026-09-07,7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148,FinOpsIQ Demo Subscription,rg-finops-demo,/subscriptions/7c2f9b1e-4d61-4c8a-9f20-2b7e6a5d3148/resourceGroups/rg-finops-demo/providers/Microsoft.Web/sites/finopsiq-api,App Service,finopsiq-api,East US,2.1,USD,Usage
